Código;Pilas:;Frente: ;Ni;Co;Fe;SiO2;MgO;Al2O3;Cr2O3;Mn;Cu;Zn;Na;K
M194;11;YN;0,92;0,06;39,61;9,74;3,7;5,02;2,99;0,27;;;;
M195;12;CE;1,02;0,05;37,96;9,5;2,37;7,08;2,91;0,31;;;;
M196;13;CE;1,04;0,07;43,84;2,11;0,99;7,62;3,06;0,5;;;;
M197;14;PG;1,25;0,11;45,19;1,94;0,2;5,18;3,32;0,71;;;;
M198;15;YN;0,99;0,07;40,79;6,85;2,04;4,34;3,21;0,38;;;;
M199;16;YN;1,11;0,09;41,92;3,1;0,94;6,28;3,28;0,64;;;;
M200;17;YN;1,3;0,11;43,27;8,26;3,04;4,55;2,96;0,45;;;;
M201;18;YN;1,32;0,11;48,12;3,75;1,31;5,65;3,34;0,76;;;;
M202;19;YN;1,36;0,11;41,42;3,74;1,55;5,71;3,11;0,62;;;;
M203;20;YN;1,44;0,09;40,75;9,21;3,88;3,61;2,98;0,56;;;;
M204;21;YN;1,3;0,1;0,1;8,5;4,39;4,02;2,98;0,6;;;;
M205;22;CE;0,83;0,06;36,44;8,27;1,92;7,01;3,36;0,37;;;;
M206;23;CE;0,84;0,06;34,93;8,6;2,68;7,19;3,24;0,29;;;;
M207;24;YN;0,77;0,08;33,71;8,51;2,77;6,2;2,82;0,37;;;;
M208;25;CE;0,8;0,06;39,69;6,68;1,11;6,68;3,52;0,35;;;;
M209;26;YN;1,03;0,08;40,49;3,87;1,19;10,21;2,75;0,58;;;;
M210;27;CE;0,97;0,08;44,71;7,41;2,04;6,19;2,84;0,33;;;;
M211;28;CE;1,28;0,11;37,66;7,67;3,48;7,59;2,96;0,83;;;;
M212;29;YN;1,19;0,06;27,96;15,21;11,56;3,22;2,67;0,4;;;;
M213;30;YN;1,08;0,07;36,1;6,51;3,42;7,7;2,61;0,69;;;;
M214;32;CE;1,06;0,05;21,56;16,92;14,24;3,1;2,35;0,37;;;;
M215;33;CE;1,02;0,1;37,56;4,85;2,13;7,27;2,74;0,74;;;;
M216;34;YN;1,24;0,07;35,67;7,98;3,74;7,15;2,85;0,63;;;;
M217;35;CE;1,16;0,05;23,51;19,88;13,66;3,48;2,44;0,35;;;;
M218;36;CE;1,26;0,07;27,17;14,3;9,06;4,68;2,42;0,45;;;;
M219;37;CE;0,82;0,13;28,28;24,95;4,32;4,39;2,38;0,75;;;;
M220;38;CE;1,26;0,08;37,06;9,42;3,15;5,88;2,54;0,47;;;;
M221;39;CE;1,04;0,07;38,21;6,03;2,58;9,02;2,81;0,6;;;;
M222;40;YN;0,62;0,06;38,04;7,33;0,91;8,08;3,37;0,22;;;;
M223;41;CE;1,49;0,08;35,54;13,5;4,69;5,52;2,62;0,77;;;;
M224;42;CE;1,42;0,1;38,14;10,69;4,39;5,51;2,71;0,91;;;;
M225;43;CE;1,23;0,09;37,68;11,22;4,13;5,35;2,62;0,85;;;;
M226;44;CE;0,98;0,06;26,89;15,92;7,5;4,12;2,26;0,5;;;;
M227;45;CE;0,84;0,08;48,84;4,32;0,31;5,47;2,55;0,62;;;;
M228;46;CE;0,86;0,09;46,15;4,15;0,27;7,86;2,45;0,66;;;;
M229;47;CE;0,85;0,08;47,88;4,38;0,42;6,84;2,68;0,65;;;;
M230;48;CE;1,26;0,08;44,58;4,49;1,03;8,19;3;0,81;;;;
M231;49;CE;1,42;0,1;43,68;4,54;1,2;6,15;2,86;0,87;;;;
M232;50;CE;1,48;0,1;44,81;5,68;1,04;6,55;2,93;0,92;;;;
M233;51;CE;1,13;0,09;21,92;8,17;2,3;10,05;1,53;1,24;;;;
M234;52;CE;0,57;0,09;21,3;9,82;3,1;5,2;0,64;0,68;;;;
M235;54;CE;0,81;0,08;36,95;14,15;1,83;8,99;1,03;1,5;;;;
M236;55;CE;0,77;0,12;49,7;4,11;1,11;9,2;0,97;0,81;;;;
M237;56;CE;0,82;0,13;37,5;10,27;6,37;8,31;1,16;0,82;;;;
M238;57;PG;0,78;0,08;34,02;19,61;2,27;9,14;1,04;1,46;;;;
M239;59;YS;0,91;0,14;45,31;3,29;1,27;7,43;1,06;0,87;;;;
M240;60;YS;0,8;0,11;48,71;2,2;0,76;7,44;1,03;0,74;;;;
M241;61;YS;0,69;0,09;47,73;5,54;0,75;8,68;0,89;0,58;;;;
M242;62;CE;0,72;0,12;34,82;9,08;6,47;7,56;1,07;0,79;;;;
M243;63;YS;0,61;0,09;49,06;6;0,67;10,12;0,84;0,62;;;;
M244;64;YS;1,38;0,08;28,48;17,31;13,41;5,57;0,74;0,7;;;;
M245;65;YN;1,17;0,09;32,41;13,31;9,47;7,49;0,97;0,67;;;;
M246;66;YS;0,72;0,09;38,4;4,74;0,63;9,6;3,29;0,62;;;;
M247;68;YS;0,55;0,08;37,88;4,97;0,86;6,59;3,29;0,48;;;;
M248;69;CE;0,75;0,14;36,72;6,45;3,57;7,18;4,17;0,72;;;;
M249;70;CE;0,97;0,16;48,26;8,59;3,25;8,09;4,71;1,12;;;;
M250;71;YN;1,36;0,13;43,58;6,78;1,14;6,56;2,63;1,42;;;;
M251;72;YN;1,05;0,16;42,86;6,48;5,47;6,72;2,62;0,93;;;;
M252;73;YN;1,15;0,2;46,23;5,6;1,38;5,74;2,73;0,88;;;;
M253;74;CE;1,16;0,1;44,02;4,61;1,23;7,42;3,01;0,75;;;;
M254;75;CE;1,15;0,09;46,41;5,7;1,29;7,42;2,97;0,71;;;;
M255;76;CE;1,41;0,12;43,26;5,9;1,45;5,48;2,83;0,87;;;;
M256;77;CE;1,05;0,2;47,63;5,6;0,93;5,19;2,73;0,82;;;;
M257;78;CE;1,37;0,12;45,1;6,5;2,7;5,04;2,82;0,88;;;;
M258;79;CE;1,21;0,09;47,81;4,65;0,75;6,82;2,49;0,68;;;;
M259;80;CE;1,05;0,14;44,36;4,48;0,36;6,94;2,62;0,85;;;;
M260;81;YN;1,36;0,14;44,08;11,79;2,74;6,74;2,6;0,76;;;;
M261;82;YN;2;0,16;38,22;16,92;6,14;4,78;2,61;0,87;;;;
M262;83;YN;1,79;0,13;34,56;11,09;0,64;4,73;2,31;0,79;;;;
M263;84;YN;1,79;0,13;34,56;11,09;0,64;4,73;2,31;0,79;;;;
M264;85;CE;1,27;0,1;45,53;15,07;0,62;6,2;2,68;0,76;;;;
M265;86;CE;1,27;0,13;38,16;14,69;5,84;5,67;2,63;0,75;;;;
M266;87;CE;1,08;0,07;47,24;7,42;0,62;8,14;2,55;0,68;;;;
M267;88;CE;1,28;0,09;46,83;5,63;0,57;7,37;2,79;0,69;;;;
M268;89;CE;1,21;0,09;45,9;5,78;1,02;6,78;2,64;0,72;;;;
M269;90;YN;1,07;0,16;48,28;7,64;1,6;5,09;3,07;0,94;;;;
M270;91;YS;0,91;0,08;39,66;4,39;1,81;4,46;1,96;0,61;;;;
M271;92;CE;1,17;0,12;47,09;5,43;1,96;4,28;2,17;0,79;;;;
M272;93;CE;0,79;0,17;40,68;10,89;6,93;6,42;1,98;1,13;;;;
M273;94;YS;0,65;0,09;33,04;27,99;2,09;3,69;1,63;0,56;;;;
M274;95;YS;0,92;0,11;35,11;25,56;1,66;3,19;1,55;0,59;;;;
M275;96;YS;0,9;0,1;33,04;18,73;3,86;2,77;1,42;0,56;;;;
M276;97;CE;0,82;0,12;39,23;11,12;9,01;3,88;1,85;0,74;;;;
M277;98;YS;1,01;0,11;36,81;21,72;3,73;3,91;1,95;0,65;;;;
M278;99;YN;1,25;0,11;40,83;11,11;3,38;5,33;1,87;0,92;;;;
M279;100;CE;0,86;0,11;42,4;11,38;5,72;5,03;1,87;0,75;;;;
M280;101;CE;1,18;0,1;43,61;4,38;1,6;8,9;2,08;0,71;;;;
M281;102;CE;1,34;0,12;45,49;2,54;0,72;7,15;1,74;0,65;;;;
M282;103;CE;0,96;0,06;32,95;14,69;9,16;5,16;1,63;0,52;;;;
M283;104;CE;1,17;0,1;46,12;2,98;0,73;8,86;1,75;0,73;;;;
M284;105;CE;1,08;0,07;44,35;3,29;0,9;8,81;1,66;0,76;;;;
M285;106;CE;0,89;0,01;29,19;6,39;1,63;4,87;1,47;1,15;;;;
M286;107;CE;1,22;0,11;45,63;2,44;1,3;7,66;1,89;0,66;;;;
M287;108;CE;0,86;0,08;28,43;22,23;11,85;6,23;1,56;0,45;;;;
M288;109;CE;1,45;0,17;44,04;7,05;2,29;5,57;1,33;1,05;;;;
M289;110;CE;1,27;0,09;45,6;3,44;1;8,07;1,69;0,79;;;;
M290;111;CE;0,92;0,06;32,38;11,98;8,21;6,03;1,66;0,56;;;;
M291;112;CE;1,24;0,09;44,61;16,2;1,3;6,47;1,88;0,45;;;;
M292;113;CE;1,09;0,09;46,02;3,97;1,42;7,98;1,88;0,64;;;;
M293;114;CE;1,16;0,09;45,64;3,82;1,35;6,9;1,82;0,76;;;;
M294;116;CE;1,05;0,09;33,5;8,87;5,48;7,67;1,64;0,56;;;;
M295;117;CE;1,06;0,11;37,5;11,95;3,88;6,06;1,61;0,77;;;;
M296;118;CE;1,28;0,09;46,5;18,18;11,32;7,08;1,86;0,43;;;;
M297;119;CE;1,06;0,09;40,42;5,66;3,45;6,3;1,99;0,65;;;;
M298;120;CE;1,26;0,08;36,6;14,76;6,13;5,27;1,51;3;;;;
M299;121;YN;0,99;0,09;40,73;8,59;3,53;7,57;1,71;1,83;;;;
M300;122;YS;0,73;0,1;44,87;2,43;0,93;9,88;1,91;0,67;;;;
M301;123;YS;0,92;0,13;44,13;2,36;1,13;10,17;1,91;0,89;;;;
M302;124;CE;1,16;0,07;37,53;12,99;5,84;8,18;1,26;0,61;;;;
M303;125;YS;0,99;0,08;45,35;2,22;0,65;10,46;1,78;1;;;;
M304;126;YS;0,71;0,13;46,72;2,85;0,71;8,76;2,01;0,73;;;;
M305;127;YN;0,89;0,2;46,25;5,77;1,28;5,49;1,81;1,1;;;;
M306;128;YS;0,68;0,14;46,15;2,36;0,53;6,79;1,76;0,76;;;;
M307;129;YS;0,82;0,11;44,2;2,76;0,83;1;1,91;0,75;;;;
M308;130;YS;0,63;0,1;41,14;2,87;1,06;11,87;1,68;0,83;;;;
M309;131;YS;1,16;0,12;41,23;10,2;3,82;4,18;1,34;0,95;;;;
M310;132;CE;0,51;0,15;44,04;2,17;0,91;12,43;1,88;0,92;;;;
M311;133;YS;1,05;0,1;37,3;15,61;8,23;3,99;1,36;0,79;;;;
M312;134;YS;1,24;0,2;44,9;6,64;1,54;14,72;2,08;1,79;;;;
M313;135;YS;0,84;0,1;45,48;2,85;1,2;9,97;2,09;0,68;;;;
M314;136;YS;0,92;0,11;48,02;1,99;1,11;6,76;1,98;0,8;;;;
M315;137;YS;0,79;0,11;40,79;4,11;1,12;12,01;2,02;0,65;;;;
M316;138;YS;0,76;0,13;43,84;2,23;1,2;9,25;1,91;0,94;;;;
M317;139;CE;0,63;0,1;43,96;1,51;0,85;12,08;1,26;0,75;;;;
M318;140;YS;0,79;0,07;46,53;2,51;5;10,11;1,39;0,62;;;;
M319;141;YN;0,85;0,14;38,13;8,01;3,57;5,06;1,87;0,76;;;;
M320;142;YN;1,3;0,12;39,73;5,48;2,21;5,15;1,85;0,65;;;;
M321;143;YN;0,84;0,09;41,34;2,95;0,86;5,24;1,84;0,55;;;;
M322;144;YN;1,32;0,08;37,49;10,13;3,83;4,7;1,74;0,25;;;;
M323;145;YN;1,25;0,07;33,64;17,31;6,81;4,16;1,64;0,5;;;;
M324;146;YN;0,87;0,08;31,38;22,23;11,55;4,44;1,66;0,47;;;;
M325;147;YN;1,01;0,06;37,05;15,44;7,7;4,12;1,76;0,45;;;;
M326;148;YS;0,85;0,07;37,85;9,99;4,55;9,07;1,92;0,48;;;;
M327;149;YS;0,63;0,07;38,66;4,55;1,4;14,02;2,08;0,51;;;;
M328;150;YS;0,71;0,09;42,52;2,57;0,73;12,2;2,04;0,6;;;;
M329;151;YN;1,31;0,1;30,36;22,59;9,91;4,36;1,48;0,58;;;;
M330;152;YS;1,22;0,15;43;7,94;2,32;6,07;1,86;0,76;;;;
M331;153;YS;1,02;0,1;30,55;16,16;2,48;4,3;1,55;0,57;;;;
M332;154;YS;0,8;0,09;40,58;6,92;2,36;9,14;2,04;0,61;;;;
M333;155;YN;1,08;0,07;23,81;27,68;13,11;4,64;1,35;0,44;;;;
M334;156;YN;0,94;0,13;46,64;3,08;1,29;6,41;1,95;0,87;;;;
M335;157;YN;1,02;0,07;33,57;17,72;7,86;6,57;1,47;0,56;;;;
M336;158;YN;1,12;0,07;33,22;16,4;6,42;6,05;1,49;0,56;;;;
M337;159;YN;1,29;0,22;44,17;9,82;3,19;3,18;1,38;1,44;;;;
M338;160;YN;1,26;0,13;42,22;11,32;3,54;5,34;1,7;0,9;;;;
M339;161;YS;0,75;0,07;49,88;2,22;1,62;4,91;1,23;0,76;;;;
M340;162;YS;0,63;0,1;44,17;2,68;1,07;9,12;1,98;0,73;;;;
M341;163;YN;1,41;0,2;46,7;5,62;1,3;5,84;1,65;1,54;;;;
M342;164;YS;0,88;0,11;44,42;3,32;0,98;7,57;1,57;0,8;;;;
M343;165;YS;1,11;0,07;33,26;2,08;0,5;3,98;1,38;0,68;;;;
M344;166;YN;0,96;0,07;40;3,21;0,83;8,2;1,39;0,63;;;;
M345;167;YN;1,39;0,18;44,58;4,01;1,83;5,47;1,64;0,55;;;;
M346;168;YS;1;0,24;46,91;2,8;0,88;6,83;1,33;1,19;;;;
M347;169;YN;1,19;0,18;43,78;14,19;9,21;5,68;1,8;0,69;;;;
M348;170;YS;0,84;0,08;46,92;10,24;2,65;4,96;1,76;0,59;;;;
M349;171;YS;0,72;0,09;45,75;3,16;1,17;6,71;2,76;0,82;;;;
M350;172;YN;1,28;0,18;41,88;6,53;3,12;7,12;2,86;0,83;;;;
M351;173;YS;1,58;0,13;43,14;5,42;4,41;5,78;2,61;0,9;;;;
M352;174;YN;1,21;0,16;36,69;11,55;3;9,06;2,97;0,91;;;;
M353;175;YS;1,6;0,06;32,95;15,18;5,93;3,79;2,7;0,66;;;;
M354;176;YS;1,29;0,06;30,62;15,21;7,57;3,87;2,15;0,63;;;;
M355;177;YN;1,02;0,1;32,95;9,24;2,72;7,91;3,19;0,59;;;;
M356;178;YN;0,72;0,08;41,19;8,64;2,06;8,17;3,05;0,52;;;;
M357;179;YN;0,75;0,08;45,81;7,32;1,51;8,58;3,38;0,61;;;;
M358;180;YS;1,39;0,1;43,4;7,81;3,44;6,39;2,75;0,95;;;;
M359;181;YS;1,12;0,19;46,5;8,53;2,78;6,79;2,78;1,45;;;;
M360;182;YN;0,83;0,1;44,21;5,55;2,71;7,04;3,03;0,7;;;;
M361;183;YN;0,53;0,1;44,3;6,64;1,07;7,41;3,46;0,61;;;;
M362;184;YN;0,68;0,13;43,92;7,44;1,03;6,74;3,04;0,79;;;;
M363;185;YS;0,98;0,09;29,35;9,12;7,78;5,39;2,16;0,68;;;;
M364;186;YN;1,3;0,13;43,71;8,72;3,24;6,75;2,73;0,82;;;;
M365;187;YS;1,46;0,11;36,31;8,39;5,14;5,27;2,35;0,92;;;;
M366;188;YS;0,8;0,07;30,85;14,3;3,91;6,84;2,33;0,53;;;;
M367;189;YS;1,48;0,06;26,57;15,54;10,28;3,76;2,23;0,52;;;;
M368;190;YN;1,23;0,07;36,74;8,14;5,17;5,37;2,61;0,63;;;;
M369;191;YN;0,9;0,08;38,8;8,36;3,33;7,57;3,01;0,62;;;;
M370;192;YN;0,73;0,05;33,75;10,75;6,24;7,5;2,81;0,37;;;;
M371;193;YN;0,74;0,07;36,41;4,59;3,45;7,81;3,16;0,52;;;;
M372;194;YS;0,7;0,11;39,27;7,12;3,66;6,82;2,52;0,74;;;;
M373;195;YS;1,91;0,09;30,91;13,62;6,12;5,86;2,34;0,63;;;;
M374;196;YS;1,7;0,1;30,54;10,85;6;4,79;1,89;0,69;;;;
M375;197;YS;1,93;0,09;36,8;13,5;5,04;6,98;2,57;0,7;;;;
M376;198;YS;1,99;0,06;26,19;16,75;7,58;6,78;1,82;0,49;;;;
M377;199;YS;1,25;0,12;33,69;8,6;4,51;3,46;2,07;0,64;;;;
M378;200;YS;1,66;0,09;36;10,16;5,35;4,39;2,17;0,63;;;;
M379;201;CE;0,71;0,16;32,45;4,43;2,93;7,5;2,06;1,02;;;;
M380;202;CE;0,8;0,19;37,49;2,28;0,41;10,82;2,2;1,36;;;;
M381;203;CE;0,78;0,23;38,81;4,56;1,63;6,75;1,93;1,51;;;;
M382;204;YS;1,21;0,21;44,12;1,58;0,98;3,12;2,01;1,47;;;;
M383;205;CE;0,9;0,23;41,15;3,51;1,67;10,48;2,7;1,56;;;;
M384;206;YS;1,19;0,16;46,87;2,41;0,99;4,41;2,59;1,2;;;;
M385;207;YS;1,09;0,19;40,67;4,98;0,61;4,37;2,68;1,49;;;;
M386;208;CE;1,09;0,16;33,22;3,47;2,59;9,56;2,62;1,27;;;;
M387;209;YS;0,76;0,15;38,02;2,43;0,65;8,43;2,63;1,1;;;;
M388;210;CE;0,73;0,1;42,8;1,79;0,61;8,79;2,9;0,76;;;;
M389;211;YS;1,02;0,156;47,79;3,19;0,9;8,15;1,67;0,71;;;;
M390;212;YS;1,07;0,173;48,23;2,64;0,69;8,13;1,84;0,88;;;;
M391;213;YS;1,19;0,135;48,74;3,54;0,75;8,07;1,83;0,77;;;;
M392;214;YS;1,16;0,121;47,14;3,28;0,92;9,8;1,67;0,71;;;;
M393;215;YS;1,18;0,1451;48,52;2,85;0,93;7,72;1,82;0,72;;;;
M394;216;YS;1,12;0,118;47,3;3,02;0,98;9,35;1,79;0,71;;;;
M395;217;YS;1,14;0,19;39,22;9,26;0,51;6,17;1,66;1,28;;;;
M396;218;YS;1,43;0,161;35,75;12,38;5,07;5,67;1,6;0,77;;;;
M397;219;YN;1,7;0,082;40,05;12,56;3,66;3,77;1,7;0,63;;;;
M398;220;YN;1,14;0,069;34,85;7,36;2,28;0,6;1,49;0,33;;;;
M399;221;YN;1,43;0,04;16,69;26,04;6,76;2,23;1,05;0,3;;;;
M400;222;YN;1,7;0,076;37,62;14,6;1,04;4,79;1,76;0,98;;;;
M401;223;YN;1,37;0,056;31,41;17,64;4,42;7,09;1,46;0,39;;;;
M402;224;YS;0,82;0,155;45,23;3,12;0,531;11,07;1,8;0,59;;;;
M403;225;YS;0,99;0,139;25,61;15,18;5,52;6,03;1,32;0,62;;;;
M404;226;YS;1,36;0,193;43,81;3,52;0,645;7,97;1,89;1;;;;
M405;227;CE;1,4;0,193;35,56;8,26;2,62;7,31;1,74;0,92;;;;
M406;228;CE;1,01;0,152;37,48;5,21;1,31;9,24;1,8;0,67;;;;
M407;229;CE;0,82;0,213;41,25;2,86;0,575;13,56;1,73;0,77;;;;
M408;230;CE;0,93;0,164;42,74;2,8;0,6;11,7;1,84;0,77;;;;
M409;231;YN;0,89;0,131;41,11;3,39;0,62;10,58;1,81;0,58;;;;
M410;232;YS;1,64;0,087;32,61;18,63;5,18;3,49;1,4;0,5;;;;
M411;233;YS;1,58;0,104;26,91;23,36;8,03;2,59;1,22;0,47;;;;
M412;234;CE;1,41;0,184;44,37;6,66;1,46;6,23;1,97;0,85;;;;
M413;235;YS;1,19;0,151;41,96;6,96;1,64;5,03;1,98;0,71;;;;
M414;236;YN;1,32;0,074;28,71;21,43;7,19;2,71;1,27;0,57;;;;
M415;237;YN;1,31;0,169;42,99;7,65;1,2;7,63;1,95;1,01;;;;
M416;238;YN;1,31;0,118;39,61;11,51;2,64;6,09;1,73;0,74;;;;
M417;239;YN;1,5;0,113;34,19;14,88;4,79;4,05;1,5;0,79;;;;
M418;240;YN;1,72;0,096;36,29;15,13;3,86;3,92;1,61;0,72;;;;
